cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
05,Coahuila de Zaragoza,0,Estatal,1001000001,Superficie continental,2020,151594.76342487,Kilómetros cuadrados
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1910,362092,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1921,393480,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1930,436425,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1940,550717,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1950,720619,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1960,907734,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1970,1114956,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1980,1557265,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1990,1972340,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,1995,2173775,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,2000,2298070,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,2005,2495200,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,2010,2748391,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,2015,2961708,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000001,Población total,2020,3146771,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000002,Población total hombres,1995,1080594,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000002,Población total hombres,2000,1140195,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000002,Población total hombres,2005,1236880,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000002,Población total hombres,2010,1364197,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000002,Población total hombres,2020,1563669,Personas
05,Coahuila de Zaragoza,0,Estatal,1002000003,Población total mujeres,1995,1093181,Personas
